AwayGoals,AwayPos,aShots,aOnt,aOft,aBlock,aPass,aClear,aCorners,aOff,aTackles,aAerial,aSaves,aFouls,aFoulsW,aYellow,aRed
0,44.9,4,0,2,2,76.1,0,4,2,70.6,53.8,1,11,10,3,0
0,26.7,3,0,3,0,71.2,0,0,1,65,39.3,3,5,7,0,0
0,33.6,10,2,3,5,71.8,0,7,0,66.7,52.6,2,13,10,2,0
0,35.5,10,2,7,1,73.7,0,4,2,52.4,51.1,3,7,12,2,0
0,28.3,1,0,1,0,76.4,0,1,2,63.6,37.9,2,7,7,1,0
0,54,7,1,3,3,83.3,1,4,1,56.3,52.4,5,10,9,0,1
2,74,19,5,7,7,85.7,1,10,0,57.1,50,3,17,9,1,0
0,70.1,10,3,4,3,85,0,6,1,75,56.9,3,12,12,2,0
1,68.3,15,2,7,6,81.4,1,7,3,63,48.8,3,12,15,1,0
1,58.7,13,6,3,4,88.9,0,8,4,50,61.1,3,8,13,1,0
2,57.8,10,6,1,3,81.8,1,7,1,61.1,55.8,2,7,6,1,0
2,41.3,7,2,4,1,76.6,1,4,3,38.5,54.8,1,15,12,2,0
3,45,22,9,6,7,69.1,1,7,1,50,63.9,1,15,7,1,0
1,61.2,12,6,4,2,82.8,1,6,3,50,57.6,2,18,17,1,0
0,54.9,5,1,1,3,79.5,0,4,0,72.2,54.1,6,14,11,1,0
0,32.9,4,0,3,1,83.8,1,2,5,66.7,25,9,7,9,1,1
0,35.4,4,1,3,0,69.4,1,0,2,69.6,45.5,3,12,15,1,0
0,39.8,3,1,1,1,79,1,1,1,66.7,52.8,7,10,8,2,0
1,25.5,6,4,0,2,60.6,2,4,5,66.7,50,4,12,7,1,0
0,31.1,14,6,6,2,68.6,3,7,2,81.8,52.2,1,9,11,2,0
0,55.8,10,3,2,5,75.2,0,8,1,50,52.3,2,16,11,4,0
0,58.2,12,5,4,3,81.3,1,5,3,61.1,53.5,2,8,12,0,0
1,62,14,7,3,4,80.6,3,8,2,46.7,42.4,3,15,13,3,0
0,56.9,7,1,4,2,82.5,0,0,0,56.5,50,1,7,4,3,0
1,55,13,2,6,5,74.3,0,5,0,57.1,37,6,11,15,4,0
1,55.9,14,5,5,4,77,0,8,1,68.8,48.4,4,11,10,4,0
3,34.5,14,4,7,3,73.9,2,5,0,40,46.2,3,14,11,2,0
1,33.5,12,3,6,3,68.5,4,7,3,56.5,36.7,8,9,8,1,0
2,73.1,23,6,12,5,87.5,1,14,2,50,55.8,3,5,8,2,0
0,46,8,1,4,3,65.6,0,7,2,50,60.7,4,9,10,3,0
1,66.3,10,2,3,5,74.9,1,9,1,47.1,45.2,4,11,7,1,0
0,70.8,7,1,4,2,84.7,0,5,1,25,45.9,2,8,3,0,0
0,57.4,19,4,8,7,83.1,0,7,0,26.7,59.1,5,16,13,2,0
2,30.7,7,4,2,1,65.8,2,8,2,57.9,52.1,4,10,4,3,0
0,42,7,2,2,3,74.8,0,5,1,56.3,55,5,15,6,1,0
0,60.2,6,4,1,1,84.9,0,1,0,56.3,36.8,3,6,11,3,0
2,48.7,17,5,8,4,84.8,3,3,2,57.1,67.9,1,12,12,4,0
1,50.9,5,3,0,2,82.3,0,5,0,62.5,57.1,5,14,14,2,0
0,57.9,12,4,4,4,78.8,4,4,1,50,53.8,7,9,8,3,0
0,55.8,8,2,3,3,77,0,5,3,43.8,37.1,8,11,14,6,1
1,33.7,9,2,4,3,66,1,2,2,53.3,52.2,2,6,4,2,0
0,54.1,4,1,0,3,74.1,0,6,2,46.2,41.8,7,17,13,4,0
1,68.1,18,7,6,5,89.1,3,7,1,73.3,52.9,3,10,13,0,0
0,22.7,3,0,2,1,70.1,0,1,3,46.7,57.9,5,7,5,1,0
2,38.8,9,3,4,2,79.6,1,8,0,50,51.6,1,11,9,3,0
3,45.7,23,10,6,7,75.6,4,7,1,45.8,54.3,3,10,12,0,0
0,31.6,10,2,5,3,81,2,6,4,44.4,50,3,9,15,0,0
2,36.4,9,6,3,0,60.6,1,3,3,55.6,46.9,1,11,6,2,0
1,63.3,17,6,7,4,84,1,7,0,68.8,54.2,1,11,5,2,0
0,59.2,9,3,2,4,83.8,0,0,0,57.1,46.3,3,10,12,2,1
1,45.7,10,2,7,1,72.4,0,4,1,50,40.6,3,8,10,3,0
1,53.4,10,2,6,2,76.9,0,6,2,66.7,45.5,5,12,11,1,0
1,32.8,5,2,2,1,64.1,0,2,2,60,33.3,2,12,9,2,0
0,57.3,13,2,6,5,80.5,2,7,1,76.5,45,2,11,8,3,0
0,66.9,19,6,6,7,87.9,2,6,0,60,59.1,1,14,6,3,1
2,50.3,7,3,1,3,78.1,2,6,1,53.3,50,2,14,14,2,0
1,60.4,18,5,9,4,76.1,0,8,3,20,46.6,4,15,10,3,0
1,39.3,10,3,3,4,71.2,1,5,0,45,43.6,3,15,9,2,0
0,38.5,17,4,7,6,63.9,0,11,5,61.1,51.5,5,15,7,2,0
0,56.6,19,4,9,6,81,3,12,0,70,53.2,6,15,10,1,0
3,55.4,12,5,4,3,74.1,3,4,2,63.6,44.1,0,14,17,2,1
3,64.9,19,6,10,3,83.9,4,6,1,42.1,50,3,9,6,1,0
0,36.3,15,4,5,6,79.4,2,6,1,67.9,47.1,5,15,14,2,0
2,70.6,13,5,5,3,88.8,2,7,0,52.9,46.7,4,6,6,0,0
2,53.6,13,6,1,6,83.3,0,4,0,54.5,36.7,2,11,4,1,0
1,32.7,6,2,3,1,67.8,0,8,1,33.3,45.7,4,19,9,1,0
1,49.6,13,2,7,4,78.9,0,3,0,62.5,40.5,1,7,12,1,0
2,27.8,5,2,2,1,59,1,2,2,61.5,42.4,7,7,11,2,0
1,35.5,8,2,3,3,68.2,2,3,3,52.4,37,3,18,10,2,0
1,65.3,21,8,6,7,83.4,2,8,1,56.3,50,1,12,8,1,0
2,55.6,15,6,6,3,70.3,2,8,1,63.6,47.5,0,13,12,2,0
2,45.1,9,3,3,3,79.9,0,4,0,55.6,40,6,10,12,1,0
1,67.3,18,5,8,5,86.7,2,13,1,62.5,47.7,1,13,12,3,0
2,41.2,2,2,0,0,78.2,1,5,1,57.1,38.2,6,6,11,1,1
1,55.5,18,8,6,4,78.9,4,5,0,78.3,45,3,8,14,0,0
0,46.8,9,4,4,1,79.1,2,5,3,50,44.8,3,10,7,3,0
0,58.5,16,5,6,5,82.1,2,3,3,52.9,32,2,13,12,3,0
1,39,12,4,6,2,69.7,2,5,0,60,56,3,13,8,2,0
1,44.7,8,3,5,0,74.3,2,4,4,60,47.1,1,13,11,3,0
2,27.5,5,3,1,1,64.4,1,2,1,72.2,53.3,4,7,9,2,0
0,34,6,3,1,2,67.7,2,5,3,47.4,56,3,10,8,2,1
3,47.5,8,4,3,1,63.9,3,3,2,76.9,59.6,3,12,13,1,0
1,51.2,11,3,5,3,79.3,4,6,1,50,41.9,4,13,11,0,0
0,69.9,19,4,7,8,85,2,10,2,66.7,42,1,14,9,1,0
3,43.3,18,6,6,6,72,2,5,5,55.6,58.3,1,13,3,1,0
6,70.6,22,12,8,2,92.2,4,4,0,50,47.8,0,12,3,1,0
1,57.3,7,4,2,1,78.2,1,4,1,58.8,45.8,1,22,14,3,1
0,34.5,7,3,2,2,68.7,1,3,6,46.2,58.8,5,4,7,3,0
0,46.2,9,2,6,1,73.9,1,3,2,46.2,50,5,7,6,1,0
2,41.8,16,10,5,1,56.9,3,4,2,69.6,57.1,4,17,8,3,0
0,40.4,8,3,2,3,78.9,0,2,0,50,37.5,2,7,17,0,0
1,34.3,5,1,2,2,74.9,0,2,1,73.3,45.5,2,12,12,3,0
1,66.8,13,7,5,1,86.9,2,3,2,60,62.5,4,8,4,2,0
0,53.1,7,2,5,0,73.2,1,3,1,75,48.1,2,6,11,0,0
0,25.2,3,2,1,0,73.1,1,4,3,64.3,35.7,5,8,5,0,0
1,52.3,16,5,4,7,81.2,0,3,3,56,42.2,4,15,8,3,0
2,38.1,11,6,3,2,68.2,2,4,1,69.2,48.5,0,10,12,1,0
3,76.6,17,10,5,2,90.6,2,5,3,52.9,66.7,2,12,8,1,0
0,59.1,11,5,2,4,73.9,1,9,3,65.2,48.8,2,8,20,4,0
1,63.6,16,4,7,5,84.9,2,7,0,60.9,42.9,1,6,12,1,0
1,34.6,7,2,3,2,77.3,0,6,1,71.4,64.4,5,11,11,4,0
1,59.4,12,3,4,5,81,1,5,1,18.8,53.1,3,9,12,0,0
0,57.4,3,2,1,0,87.2,1,2,3,50,55,3,12,3,2,0
0,51.2,10,4,3,3,85.2,1,4,0,41.7,56.3,2,15,11,0,0
2,57.9,13,4,6,3,83.5,2,3,1,58.8,46.9,1,19,13,4,0
0,37.1,10,2,5,3,73.3,0,6,5,52.2,59.1,2,3,5,0,0
0,27.1,8,0,6,2,74.2,3,5,5,62.5,58.6,2,6,4,1,0
0,44.9,10,2,3,5,76.8,0,2,0,50,47.8,4,11,9,2,0
2,57.3,22,9,7,6,78.4,2,8,2,66.7,32.9,4,13,12,2,0
1,40.1,5,2,3,0,72.8,0,4,2,62.5,53.8,4,7,13,2,0
0,51.2,11,2,3,6,81.3,1,3,3,54.5,61.1,3,9,15,1,0
2,58.9,15,7,1,7,81.2,1,6,3,54.5,51.4,1,10,11,3,0
2,57.3,13,8,2,3,81.1,3,6,3,54.5,35.9,3,4,16,1,0
2,61.4,14,5,3,6,81.2,2,4,2,50,48.8,1,10,17,3,0
2,38.1,7,3,3,1,78.8,1,1,1,37.5,46.2,5,13,7,1,1
1,46.2,11,5,5,1,79.6,2,2,0,56.5,71,3,9,10,2,0
0,57.5,16,6,6,4,83.5,2,8,0,71.4,39,1,12,15,3,0
1,60.5,17,2,6,9,86.8,0,3,0,60,46.2,3,13,5,4,0
2,33.9,5,3,0,2,63,1,1,2,50,44.3,3,9,9,2,0
1,41.8,10,2,5,3,73.8,1,6,2,50,62.8,2,10,5,2,0
0,32.5,6,0,6,0,56.5,1,3,1,65,52.9,4,14,14,0,0
1,41.9,5,2,2,1,68.7,1,1,1,42.9,42.6,3,8,11,3,0
1,26.7,7,2,5,0,72.2,1,0,1,65,54.8,6,7,9,2,0
4,58.8,15,6,7,2,85.8,4,8,3,80,52,0,7,4,1,0
0,63.9,17,8,6,3,84.2,3,5,4,44.4,69.4,1,11,14,1,0
2,55.5,13,3,6,4,81.8,0,5,2,56.3,50,1,11,8,3,0
0,57,6,2,4,0,83.3,1,4,1,71.4,54.5,0,11,10,3,0
3,43.5,17,8,5,4,68.6,1,5,3,81.3,32.7,5,15,15,1,0
1,35.2,2,1,0,1,58.3,0,5,0,53.8,50,0,21,13,4,0
1,31,7,2,5,0,64.2,1,3,3,59.1,50.9,2,11,5,3,0
0,57.5,16,4,7,5,83.5,1,5,0,38.9,54.8,2,11,12,0,0
2,49.8,14,4,2,8,81.1,2,11,2,61.5,50,6,14,7,4,0
1,37.3,5,2,3,0,81.2,2,1,3,42.9,57.9,9,9,13,2,0
1,65.2,15,10,3,2,83.6,1,7,1,68.8,27.8,3,12,6,1,0
1,33.5,8,3,5,0,66.7,0,5,3,47.6,37.5,7,12,10,2,0
2,42.2,9,5,3,1,72.8,1,2,1,55.6,58.5,4,10,12,4,0
3,57.6,14,7,3,4,90.5,1,3,1,52.4,62.5,1,24,8,4,0
0,32.1,8,2,6,0,64.1,1,3,4,71.4,30.6,4,6,7,1,0
0,52,9,0,7,2,73.3,2,3,1,47.1,39.6,3,12,15,2,0
1,33,11,2,1,8,65.5,1,4,1,71.4,44.6,5,14,9,2,0
1,43.2,10,3,3,4,78.8,1,4,1,64.7,55.2,5,15,11,5,0
0,43.3,8,0,7,1,68.7,0,2,0,81.8,52.9,1,9,8,2,0
1,43,11,4,3,4,60.7,0,8,2,64.7,47.7,2,14,9,3,0
3,64.2,10,3,3,4,86.5,3,3,0,58.3,58.1,3,6,12,0,0
4,59.6,23,8,8,7,86,6,6,1,47.1,62.5,1,15,21,2,0
1,54.7,19,4,10,5,72.4,1,12,1,54.2,47.1,4,17,11,3,0
2,41.8,9,3,5,1,70.1,1,1,2,64.7,58.6,3,12,6,4,0
2,38,13,6,2,5,72.5,3,4,3,55.6,54.1,3,7,9,0,0
1,70,15,4,7,4,85,1,5,3,57.1,50,4,9,14,0,0
3,73.8,21,9,7,5,89.1,4,4,1,50,48.3,0,6,5,1,0
0,51,7,1,5,1,76.4,1,1,2,46.7,51.9,2,8,12,1,0
0,49.8,3,0,2,1,73.7,0,2,1,78.6,44,3,16,15,2,0
2,28.1,11,7,2,2,75.1,0,3,0,63.2,47.8,4,10,10,2,0
2,26.7,6,4,1,1,66,1,1,2,64.3,56.5,6,6,10,0,0
2,50.8,20,9,5,6,81.6,0,9,0,63.6,67.6,4,11,9,1,0
1,35.5,9,3,1,5,80.2,1,5,1,40.9,55.6,7,10,18,1,0
0,37,4,1,1,2,69.8,0,2,1,70.6,50,3,16,10,2,0
1,53.4,8,5,1,2,79.1,0,3,1,83.3,59.3,5,9,9,1,0
1,59.9,10,3,5,2,79.4,2,1,1,58.3,50.9,3,7,12,1,0
0,50.6,6,3,2,1,81.5,1,4,3,65.2,36.4,5,9,7,2,0
2,41.5,12,4,7,1,72.3,2,6,3,68.4,52.8,0,17,12,2,0
0,69.2,6,3,2,1,86.8,0,9,0,46.2,59.1,1,15,6,3,0
4,75.5,17,8,4,5,89.1,2,6,2,62.5,37.1,1,6,9,1,0
2,60.1,16,7,1,8,84.8,0,12,0,43.8,57.7,6,10,7,1,0
1,40.6,10,4,5,1,74.8,4,2,3,73.7,50,3,18,12,5,0
1,30.7,11,3,5,3,67.3,2,4,3,35,45.2,4,9,7,1,0
2,37.7,9,3,4,2,71.5,1,9,4,72.7,34.8,5,8,16,1,0
2,76.4,24,9,8,7,88.4,2,10,3,58.3,48.5,1,6,3,2,0
2,56.5,7,2,4,1,75,1,6,1,53.3,49.2,3,9,13,0,0
1,34.3,5,4,1,0,70.1,2,3,0,50,54.3,6,16,0,3,0
1,55.2,12,5,4,3,84,2,5,6,63.6,57.1,5,10,2,0,0
2,47.4,20,6,8,6,78.7,0,8,0,75,31.8,2,12,9,2,0
1,37.2,6,3,3,0,64.8,0,7,4,55.6,63.6,3,10,6,0,0
0,38,11,5,3,3,78.4,1,6,2,46.7,55,6,9,10,1,0
3,59.4,11,5,4,2,81.1,2,3,1,60,51.1,5,10,13,2,0
3,52.9,15,6,6,3,80.7,4,7,6,42.1,55.1,3,14,11,2,0
2,39,21,6,11,4,74.4,3,8,1,50,37.5,3,19,12,2,0
2,53.4,18,8,7,3,87,1,9,4,54.5,64.7,2,12,10,1,0
2,47.4,19,9,8,2,82.5,6,7,1,52.9,55,0,1,8,0,0
2,60,12,4,4,4,81.6,1,8,0,62.5,53.3,5,7,8,1,0
2,42.7,13,5,3,5,71,3,7,0,72.2,51.1,7,11,11,5,0
3,38.1,11,5,3,3,63.7,2,5,2,66.7,42.6,4,13,14,3,0
1,53.3,11,2,6,3,89.1,1,3,4,73.3,36.8,2,9,5,1,0
1,57.3,6,2,3,1,80.7,2,2,4,53.6,56,8,14,10,5,0
1,49.9,13,4,5,4,79.7,0,3,1,65,40.6,3,8,15,3,0
1,55,18,3,7,8,83.8,2,13,5,66.7,51.9,2,5,10,2,0
0,39.4,3,1,1,1,76.9,1,0,0,68.4,45.7,3,17,9,2,0
0,60,7,4,2,1,75.8,1,4,1,57.1,42.6,10,10,16,1,0
1,66.1,16,4,7,5,83.9,0,4,1,71.4,45.2,7,5,10,0,0
2,52.7,24,5,9,10,71.9,3,9,0,69.6,52.9,2,12,12,1,0
1,38.9,14,4,7,3,75.4,1,4,6,59.3,38.9,4,9,6,2,0
0,49.8,8,1,4,3,83.9,1,4,2,72.2,30.8,5,10,10,1,0
2,34.2,12,2,6,4,73.7,1,4,0,52,55.6,5,13,7,2,1
2,55.8,14,5,7,2,81.9,1,6,1,68.2,48.6,3,16,13,2,0
1,52.7,5,2,2,1,77.7,1,2,2,86.7,52.9,2,8,9,2,1
0,57.4,15,4,6,5,78.5,1,10,4,61.1,31.8,5,12,13,3,0
1,42.5,24,8,4,12,79.6,1,9,2,59.1,72,3,15,6,2,0
2,73.7,25,6,10,9,84.1,3,10,2,70.6,53.7,1,9,11,2,0
0,41.5,7,0,4,3,78.5,0,3,1,76.9,30,3,8,11,1,0
1,24.7,3,3,0,0,61.8,0,0,0,55,57.1,2,10,9,1,0
0,54.4,6,0,5,1,74.3,0,6,0,80,46.8,3,12,8,2,0
3,30.5,12,9,3,0,67.2,4,3,4,66.7,52.6,4,7,10,1,0
2,67.2,16,10,2,4,89.5,2,6,0,50,52.2,2,5,8,2,0
1,56.9,13,5,5,3,84.6,2,6,1,66.7,45.5,1,16,8,2,0
2,43.8,10,4,2,4,77.4,1,5,1,78.6,59.5,4,9,18,0,0
1,32,11,4,5,2,67.1,1,3,4,56.3,41,12,11,7,3,0
3,53.9,21,11,7,3,84.6,4,10,0,54.2,60,2,10,12,2,0
0,36.9,11,5,2,4,80.1,0,7,2,50,34.6,6,5,10,1,0
2,44.7,10,6,2,2,80.4,2,5,2,41.2,61.1,2,12,12,1,0
1,39.2,10,4,3,3,73.1,1,4,4,54.5,53.2,3,10,7,2,0
4,63.3,16,7,2,7,85.2,0,6,0,38.5,43.2,3,8,7,2,0
9,72.6,25,15,5,5,86.2,5,7,0,57.7,50,3,12,3,0,0
0,68.6,9,3,4,2,86.6,1,12,1,35.3,34.9,1,12,8,4,0
1,68,10,4,4,2,83.9,2,1,1,55.6,72.2,1,14,6,1,0
0,48.7,8,4,3,1,68.8,0,2,4,76.9,46.8,9,15,15,2,0
1,51.1,20,5,8,7,83.8,1,5,0,72.7,65.4,6,17,9,2,1
0,52.3,10,1,6,3,80.6,0,7,2,64.3,58.1,2,11,8,3,0
0,28.9,5,0,4,1,66.7,1,0,1,58.3,43.9,6,12,9,1,0
1,35.5,13,4,3,6,71.9,2,4,3,80,51.1,1,10,4,3,0
1,30.6,7,2,2,3,65.8,1,2,1,60,52.9,1,9,5,3,0
1,43,14,5,5,4,74.8,0,3,2,44.4,44.2,0,17,9,2,0
2,71.3,21,10,8,3,87.2,6,8,2,54.5,61.8,2,10,8,1,0
